English,Kiswahili,Domain,Ekegusii
Kenya: Baringo Social Unrest - DREF Final Report (MDRKE059),Kenya: Machafuko ya Kijamii ya Baringo - Ripoti ya Mwisho ya DREF (MDRKE059),Disaster/Health,
"Flooding Displaces More than 200,000 in Kenya, Fueling Hunger","Mafuriko Yawahamisha Zaidi ya 200,000 nchini Kenya, Na Kuchochea Njaa",Disaster/Health,
Kenya steps up national cholera preparedness and response,Kenya yaongeza utayarishaji na mwitikio wa kipindupindu kitaifa,Disaster/Health,
"WHO continues to work in this area, supporting countries to improve and better monitor interventions towards ending the AIDS epidemic as a public health threat by 2030.","WHO inaendelea kufanya kazi katika eneo hili, kusaidia nchi kuboresha na kufuatilia vyema afua za kumaliza janga la UKIMWI kama tishio la afya ya umma ifikapo 2030.",General,
Kwale County: Drought Early Warning Bulletin for June 2022,Kaunti ya Kwale: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Juni 2022,Disaster/Health,
Taita Taveta County: Drought Early Warning Bulletin for December 2023,Kaunti ya Taita Taveta: Taarifa ya Onyo la Mapema kuhusu Ukame la Desemba 2023,Disaster/Health,
"Overall, the results point to a sharp refugee labor market shock alongside limited absorptive capacity in host labor markets.","Kwa ujumla, matokeo yanaonyesha mshtuko mkali wa soko la ajira la wakimbizi sambamba na uwezo mdogo wa kufyonza katika soko la ajira mwenyeji.",Disaster/Health,
"This Acceleration Plan focuses on women and newborns who already reach health facilities, where the potential for rapid and measurable impact is greatest.","Mpango huu wa Kuongeza Kasi unalenga wanawake na watoto wachanga ambao tayari wanafika kwenye vituo vya afya, ambapo uwezekano wa athari za haraka na zinazoweza kupimika ni kubwa zaidi.",Health,
"In Model 2(b), services delivered by public primary healthcare entities and civil society organizations s are reimbursed (e.g. in the Philippines and Thailand).","Katika Mfano wa 2(b), huduma zinazotolewa na mashirika ya afya ya msingi ya umma na mashirika ya kiraia hulipwa (k.m. Ufilipino na Thailand).",Health,
"Individuals or Firms are hereby invited to make submissions on the dates scheduled against the National Government (Ministry/State Department/Constitutional Commission/Independent Office and State Corporation, (excluding any bill(s)/ claim(s) from County Governments), which owes the Pending Bill in the prescribed format.","Watu binafsi au Mashirika yanaalikwa kuwasilisha mawasilisho katika tarehe zilizoratibiwa dhidi ya Serikali ya Kitaifa (Wizara/Idara ya Jimbo/Tume ya Kikatiba/Afisi Huru na Shirika la Serikali, (bila kujumuisha bili/madai) yoyote kutoka kwa Serikali za Kaunti), ambayo inadaiwa Mswada Unaosubiri katika muundo uliowekwa.",Governance,
"Kenya - Floods, update (Kenya Government, media, Kenya Met Department, NOAA-CPC) (ECHO Daily Flash of 18 March 2026)","Kenya - Mafuriko, sasisho (Serikali ya Kenya, vyombo vya habari, Kenya Met Department, NOAA-CPC) (ECHO Daily Flash ya 18 Machi 2026)",Disaster/Health,
Please fill in your details below to receive our weekly outbreaks and other health emergencies bulletin,Tafadhali jaza maelezo yako hapa chini ili kupokea taarifa zetu za kila wiki za milipuko na dharura nyingine za afya,General,
"Here's a popular misconception we need to talk about. Inflatables don't keep children safe in the water. Inflatable armbands, neck floaties, and other inflatable toys tend to give a false sense of security. They can slip off, deflate, disrupt balance, and are not designed to prevent drowning. The real protection is constant, active adult supervision, always within arm's reach https://bit.ly/4yEIAgY DrowningPrevention WorldDrowningPreventionDay : Getty Images","Huu hapa ni ufahamu potofu unaofaa kuzungumziwa: Vifaa vya kupuliza hewa havimlindi mtoto majini. Vitambaa vya mikononi na vinyago vya kuogelea vinatoa usalama wa uongo. Vinaweza kuvuka, kupoteza upepo, na havijatengenezwa kuzuia kuzama. Ulinzi wa kweli ni usimamizi wa karibu wa mtu mzima wakati wote.",Health,
West Pokot: Drought Early Warning Bulletin for January 2023,Pokot Magharibi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Januari 2023,Disaster/Health,
Kenya: Acute Malnutrition Situation October 2024 - February 2025 and Projection for March - June 2025 (ASAL) Published on 21 March 2025,Kenya: Hali mbaya ya Utapiamlo Oktoba 2024 - Februari 2025 na Makadirio ya Machi - Juni 2025 (ASAL) Limechapishwa tarehe 21 Machi 2025,Disaster/Health,
Laikipia County: Drought Early Warning Bulletin for September 2022,Kaunti ya Laikipia: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Septemba 2022,Disaster/Health,
"Nevertheless, follow up was initiated, samples collected and tested for Bundibugyo virus disease (BVD) with results turning negative.","Hata hivyo, ufuatiliaji ulianzishwa, sampuli zilikusanywa na kupimwa kwa ugonjwa wa virusi vya Bundibugyo (BVD) na matokeo yakabadilika kuwa hasi.",Health,
UNICEF Kenya Flash Update No.1 (Rains) 1 April - 3 May 2024,UNICEF Kenya Flash Update No.1 (Mvua) 1 Aprili - 3 Mei 2024,Disaster/Health,
"Research Terms of Reference: Actor, service and infrastructure mapping in Dadaab refugee camps, KEN2202, Kenya, January 2021, V1","Masharti ya Marejeleo ya Utafiti: Muigizaji, huduma na ramani ya miundombinu katika kambi za wakimbizi za Dadaab, KEN2202, Kenya, Januari 2021, V1.",Disaster/Health,
"Slovakia and UNESCO Partnership: Access to clean, affordable Water in Turkana",Ushirikiano wa Slovakia na UNESCO: Upatikanaji wa Maji safi na ya bei nafuu Turkana,Disaster/Health,
"Under the Kenya Digital Economy Acceleration Project (KDEAP), 10,382 laptops and 10,382 interactive smart boards are being distributed to Junior Schools in all 47 counties, with 11 schools benefiting in Nyandarua Sub-County. This follows training for over 62,000 teachers nationwide on ICT integration.","Chini ya Mradi wa Kuongeza Kasi ya Uchumi wa Kidijitali wa Kenya (KDEAP), kompyuta mpakato 10,382 na bodi mahiri 10,382 zinasambazwa kwa Shule za Vijana katika kaunti zote 47, huku shule 11 zikinufaika katika Kaunti Ndogo ya Nyandarua. Hii inafuatia mafunzo kwa zaidi ya walimu 62,000 nchini kote kuhusu ushirikiano wa ICT.",General,
"AMR is making infections harder to treat, increasing the risk of disease spread, severe illness and death, while placing growing pressure on health systems worldwide.","AMR inafanya maambukizo kuwa magumu kutibu, na kuongeza hatari ya kuenea kwa magonjwa, ugonjwa mbaya na kifo, huku ikiweka shinikizo kubwa kwenye mifumo ya afya ulimwenguni.",Health,
Toward a Shared Future: Advancing Refugee Integration in Kenya,Kuelekea Mustakabali wa Pamoja: Kuendeleza Muunganisho wa Wakimbizi nchini Kenya,Disaster/Health,
"OMS em ÁfricaAbout WHO in the African region »About UsContact usGovernanceLeadershipOrganizational structureProgrammes and clustersRegional Director for AfricaAccountability »Financial reportsGeneral Programme of WorkConstruir uma África mais saudável, juntos: Um Manifesto para a Transformação","OMS em AfrikaKuhusu WHO katika eneo la Afrika »Kuhusu SisiWasiliana nasiUongozi wa UongoziMuundo wa shirikaProgramu na makundi Mkurugenzi wa Kanda ya AfrikaUwajibikaji »Ripoti za kifedhaMpango Mkuu wa KaziKujenga Afrika mais saudável, juntos: Um Manifesto para a Transformação",General,
"Mbauro Comprehensive School Wundanyi, Taita Taveta CountyRead More","Shule ya Kina ya Mbauro Wundanyi, Kaunti ya Taita TavetaSoma Zaidi",General,
Tharaka Nithi County: Drought Early Warning Bulletin for May 2023,Kaunti ya Tharaka Nithi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Mei 2023,Disaster/Health,
"The Board of the Wildlife Conservation Trust Fund and the National Treasury have now finalized the draft Public Finance Management (Wildlife Conservation Trust Fund) Regulations, 2024.",Bodi ya Mfuko wa Hifadhi ya Wanyamapori na Hazina ya Kitaifa sasa imekamilisha rasimu ya Kanuni za Usimamizi wa Fedha za Umma (Wildlife Conservation Trust Fund) za mwaka 2024.,Governance,
Kwale County: Drought Early Warning Bulletin for October 2023,Kaunti ya Kwale: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Oktoba 2023,Disaster/Health,
Meru (Meru-North) County: Drought Early Warning Bulletin for December 2022,Kaunti ya Meru (Meru-Kaskazini): Taarifa ya Onyo la Mapema kuhusu Ukame Desemba 2022,Disaster/Health,
"Kenya: FAJ Strongly Condemns Assaults on Kenyan Journalists, Calls for Immediate Action","Kenya: FAJ Yalaani Vikali Mashambulio dhidi ya Waandishi wa Habari wa Kenya, Yataka Hatua za Haraka",Disaster/Health,
"WFP Kenya Country Brief, December 2024","Muhtasari wa Nchi wa WFP Kenya, Desemba 2024",Disaster/Health,
"Should a health emergency arise, the same platform can be rapidly redirected to produce a response, shortening the time it takes for effective countermeasures to reach affected populations.","Iwapo dharura ya kiafya itatokea, jukwaa sawa linaweza kuelekezwa kwingine kwa haraka ili kutoa jibu, na kufupisha muda unaochukua kwa hatua madhubuti za kukabiliana na hali hiyo kufikia watu walioathirika.",Health,
PS TVET DR. ESTHER MUORIA WELCOMING THE PRIME CABINET SECRETARY HON. DR MUSALIA MUDAVADI TO TVET@100 CELEBRATIONS HELD AT KABETE NATIONAL POLYTECHNIC,PS TVET DR. ESTHER MUORIA AKIMKARIBISHA KATIBU MKUU WA BARAZA LA MAWAZIRI MHE. DK MUSALIA MUDAVADI KWENDA SHEREHE ZA TVET@100 ZILIZOFANYIKA KABETE NATIONAL POLYTECHNIC.,General,
Mandera County: Drought Early Warning Bulletin for October 2024,Kaunti ya Mandera: Taarifa ya Onyo la Mapema kuhusu Ukame ya Oktoba 2024,Disaster/Health,
"In the fragile and climate-affected context of the Mandera Triangle — where the borders of Kenya, Ethiopia, and Somalia meet — breastfeeding is a vital lifeline for infants and mothers.","Katika mazingira dhaifu na yaliyoathiriwa na hali ya hewa ya Pembetatu ya Mandera - ambapo mipaka ya Kenya, Ethiopia, na Somalia inakutana - kunyonyesha ni njia muhimu ya maisha kwa watoto wachanga na akina mama.",Health,
More than 20 African countries can now test for coronavirus disease20 February 2020,Zaidi ya nchi 20 za Afrika sasa zinaweza kupima ugonjwa wa coronavirus20 Februari 2020,General,
IGAD Secretariat's statement on the ongoing heavy rains and subsequent floods across the region particularly in Kenya,Taarifa ya Sekretarieti ya IGAD kuhusu mvua kubwa zinazoendelea kunyesha na mafuriko katika eneo zima hasa nchini Kenya.,Disaster/Health,
Health and violence risks multiply for women and girls in Kenya as worst drought in 40 years takes hold,Hatari za kiafya na unyanyasaji zinaongezeka kwa wanawake na wasichana nchini Kenya huku ukame mbaya zaidi kuwahi kutokea katika kipindi cha miaka 40,Disaster/Health,
Sarah's journey: empowering women through high iron beans,Safari ya Sarah: kuwawezesha wanawake kupitia maharagwe mengi ya chuma,Disaster/Health,
"Kenya - Floods (Kenya Met, media) (ECHO Daily Flash of 28 April 2023)","Kenya - Mafuriko (Kenya Met, media) (ECHO Daily Flash ya 28 Aprili 2023)",Disaster/Health,
Narok County: Drought Early Warning Bulletin for July 2022,Kaunti ya Narok: Taarifa ya Onyo la Mapema kuhusu Ukame Julai 2022,Disaster/Health,
"Effective surveillance is essential for understanding where resistance is occurring, how it is evolving and what actions are needed to respond.","Ufuatiliaji unaofaa ni muhimu ili kuelewa ni wapi upinzani unatokea, jinsi unavyoendelea na ni hatua gani zinahitajika ili kujibu.",Disaster/Health,
"As we contain #COVID19, we remind you that Mosquitoes are not under quarantine or lockdown; they are still spreading Malaria. You need to protect yourself from mosquitos & be on lookout for symptoms like fever, headache, joint pains, nausea &vomiting. #KomeshaCorona","Kwa kuwa tuna #COVID19, tunakukumbusha kuwa Mbu hawako chini ya karantini au kufungwa; bado wanaeneza Malaria. Unahitaji kujikinga na mbu na kuwa mwangalifu kwa dalili kama vile homa, maumivu ya kichwa, maumivu ya viungo, kichefuchefu na kutapika. #KomeshaCorona",Public Health,
Climate Risk Perception and Adoption of Sustainable Agricultural Practices: Insights from Kenya's Central Highlands (December 2025),Mtazamo wa Hatari ya Hali ya Hewa na Kupitishwa kwa Mbinu Endelevu za Kilimo: Maarifa kutoka Nyanda za Juu za Kenya (Desemba 2025),Disaster/Health,
Rebuilding Kenya Stronger: Here's What's Needed to Rebound After Catastrophic Floods,Kuijenga Kenya Imara Zaidi: Hiki ndicho Kinachohitajika ili Kurudi Baada ya Mafuriko,Disaster/Health,
Kenya: WASH-related Needs Assessment in Schools and Health Facilities in Turkana County - July 2024 | Turkana Host and Refugee Community,Kenya: Tathmini Ya Mahitaji Yanayohusiana na WASH katika Shule na Vifaa vya Afya katika Kaunti ya Turkana - Julai 2024 | Mwenyeji wa Turkana na Jumuiya ya Wakimbizi,Disaster/Health,
"ASAL Humanitarian Network MPCT New Beneficiaries Endline Assessment, Mandera County, March 2022","Tathmini ya Mwisho ya Mtandao wa Kibinadamu wa ASAL MPCT Wafaidika Wapya, Kaunti ya Mandera, Machi 2022",Disaster/Health,
Embu (Mbeere) County: Drought Early Warning Bulletin for November 2022,Kaunti ya Embu (Mbeere): Taarifa ya Onyo la Mapema kuhusu Ukame ya Novemba 2022,Disaster/Health,
"Kenya Food Security Alert: As an already historic four-season drought drives widespread need, a fifth poor season is now forecast, 10 May 2022","Tahadhari ya Usalama wa Chakula Kenya: Kama ukame ambao tayari ni wa kihistoria wa misimu minne unachochea mahitaji makubwa, msimu wa tano duni sasa unatabiriwa, 10 Mei 2022.",Disaster/Health,
The Power of Science for Health: Malawi's Milestones Transforming Lives,Nguvu ya Sayansi kwa Afya: Milestones ya Malawi Kubadilisha Maisha,General,
Kenya — Trans Nzoia Flood Damages Assessment (April 2026),Kenya - Tathmini ya Uharibifu wa Mafuriko ya Trans Nzoia (Aprili 2026),Disaster/Health,
"""Tobacco growing farmers must be given the necessary support to switch to alternative crops that have the potential to improve their health and livelihoods as well as reduce the supply of tobacco,"" says Dr.","""Wakulima wanaolima tumbaku ni lazima wapewe msaada unaohitajika ili kubadili mazao mbadala yenye uwezo wa kuboresha afya na maisha yao pamoja na kupunguza upatikanaji wa tumbaku,"" anasema Dk.",Health,
"Kenya Food Security Outlook, June 2023 - January 2024","Mtazamo wa Usalama wa Chakula nchini Kenya, Juni 2023 - Januari 2024",Disaster/Health,
Social distance is an essential way to slow down the spread of COVID-19. And it is important that you follow the social distancing recommendations in your community whether your're in one of the high-risk groups or not. #KomeshaCorona campaign,Umbali wa kijamii ni njia muhimu ya kupunguza kasi ya kuenea kwa COVID-19. Na ni muhimu kufuata mapendekezo ya umbali wa kijamii katika jamii yako iwe uko katika moja ya vikundi vilivyo hatarini au la. Kampeni ya #KomeshaCorona,Public Health,
"Kenya - Floods, update (Kenya Red Cross, UN OCHA, International Charter, media, Kenya Meteorological Department) (ECHO Daily Flash of 2 May 2024)","Kenya - Mafuriko, sasisho (Kenya Red Cross, UN OCHA, Hati ya Kimataifa, vyombo vya habari, Idara ya Hali ya Hewa ya Kenya) (ECHO Daily Flash ya 2 Mei 2024)",Disaster/Health,
* Coronavirus (COVID-19) Situation reports are now included in The WHO Africa outbreaks and emergencies bulletin.,* Ripoti za Hali ya Virusi vya Korona (COVID-19) sasa zimejumuishwa katika Taarifa za milipuko na dharura za WHO Afrika.,General,
West Pokot: Drought Early Warning Bulletin for June 2023,Pokot Magharibi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Juni 2023,Disaster/Health,
"Research in settlements such as Mathare in Nairobi and Kombo in Dar es Salaam shows that indoor temperatures are often higher than outdoor conditions, leading to chronic heat stress.","Utafiti katika makazi kama vile Mathare huko Nairobi na Kombo jijini Dar es Salaam unaonyesha kuwa halijoto ya ndani ya nyumba mara nyingi ni ya juu kuliko hali ya nje, na kusababisha msongo wa joto sugu.",Disaster/Health,
The Social and Economic Impact of COVID-19 Policy Responses on Women Working in the Informal Urban Economy in Kenya,Athari za Kijamii na Kiuchumi za Majibu ya Sera ya COVID-19 kwa Wanawake Wanaofanya Kazi katika Uchumi Usio Rasmi wa Mijini nchini Kenya.,Disaster/Health,
National Drought Early Warning Bulletin (November 2022),Taarifa ya Tahadhari ya Mapema ya Kitaifa (Novemba 2022),Disaster/Health,
"Please share your comments with the National Treasury by close of business 23rd September, 2024 through the email address: brop@treasury.go.ke.","Tafadhali shiriki maoni yako na Hazina ya Kitaifa kufikia mwisho wa biashara tarehe 23 Septemba, 2024 kupitia barua pepe: brop@treasury.go.ke.",Governance,
"In order to effectively undertake its mandate, the State Department also comprises 38 Public Universities, 4 University Constituent Colleges and two (2) specialized degree awarding Public Universities, eight (8) Semi-Autonomous Government Agencies (SAGAs), which are charged with various responsibilities as presented in table 1.","Ili kutekeleza majukumu yake ipasavyo, Idara ya Serikali pia inajumuisha Vyuo Vikuu 38 vya Umma, Vyuo Vikuu Vikuu 4 na Vyuo Vikuu vya Umma viwili (2) vinavyotunuku Vyuo Vikuu vya Umma, Wakala nane (8) za Serikali zinazojiendesha Semi-Autonomous (SAGAs), ambazo zina majukumu mbalimbali kama yalivyowasilishwa kwenye jedwali namba 1.",General,
Meru (Meru-North) County: Drought Early Warning Bulletin for October 2023,Kaunti ya Meru (Meru-Kaskazini): Taarifa ya Onyo la Mapema kuhusu Ukame Oktoba 2023,Disaster/Health,
Africa marks a year of COVID-19 vaccine delivery25 February 2022,Afrika inaadhimisha mwaka wa utoaji wa chanjo ya COVID-1925 Februari 2022,General,
Embu (Mbeere) County: Drought Early Warning Bulletin for May 2023,Kaunti ya Embu (Mbeere): Taarifa ya Onyo la Mapema kuhusu Ukame ya Mei 2023,Disaster/Health,
Inspiring a Change: JRS students advocate for gender equality,Kuhamasisha Mabadiliko: Wanafunzi wa JRS wanatetea usawa wa kijinsia,Disaster/Health,
"There are many things we can do to prevent the spread of COVID-19. This includes washing our hands, coughing into our elbows, avoiding touching our faces, staying home if we're feeling sick &!social distancing #KomeshaCorona @WHOKenya @PSofKenya @SpokespersonGoK @KenyaGovernors","Kuna mambo mengi tunayoweza kufanya ili kuzuia kuenea kwa COVID-19. Hii ni pamoja na kunawa mikono, kukohoa kwenye viwiko vya mkono, kuepuka kugusa nyuso zetu, kukaa nyumbani ikiwa tunajisikia wagonjwa &!kutengwa kijamii #KomeshaCorona @WHOKenya @PSofKenya @SpokespersonGoK @KenyaGovernors",Public Health,
Weekly Bulletin on Outbreaks and other Emergencies: Week 24: 10 - 16 June 2024 (Data as reported by: 17:00; 16 June 2024),Taarifa ya Kila Wiki kuhusu Milipuko na Dharura Nyingine: Wiki 24: 10 - 16 Juni 2024 (Data kama ilivyoripotiwa na: 17:00; 16 Juni 2024),Disaster/Health,
Wajir County: Drought Early Warning Bulletin for March 2022,Kaunti ya Wajir: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2022,Disaster/Health,
Kenya: ICC to encourage domestic accountability efforts despite conclusion of investigation,Kenya: ICC kuhimiza juhudi za uwajibikaji wa ndani licha ya kukamilika kwa uchunguzi,Disaster/Health,
VULNERABLE AND MARGINALIZED GROUP PLAN FOR MUNYOYOYA IN TANA RIVER COUNTY,MPANGO WA KUNDI HALISI NA WALIO PEKEE KWA MUNYOYOYA KATIKA KAUNTI YA TANA RIVER.,General,
Kenya: Registered refugees and asylum-seekers (as of 31 October 2022),Kenya: Wakimbizi waliosajiliwa na wanaotafuta hifadhi (kuanzia tarehe 31 Oktoba 2022),Disaster/Health,
A ground breaking opportunity to increase access for registration of community groups in Dadaab,Fursa muhimu ya kuongeza ufikiaji wa usajili wa vikundi vya jamii huko Dadaab,Disaster/Health,
"Over the past three years, there has been an incremental reduction in services, food rations and cash support affecting the refugee population in Dadaab.","Katika kipindi cha miaka mitatu iliyopita, kumekuwa na punguzo la ongezeko la huduma, mgao wa chakula na usaidizi wa fedha unaoathiri idadi ya wakimbizi huko Dadaab.",Disaster/Health,
"How to avoid spreading #COVID19 DO Stay at least 2 metres away from anyone Wash your hands often with soap & running water Cover your mouth & nose when you cough Wear face mask Don't Do not touch your eyes, nose or mouth if your hands are not clean. #KomeshaCorona","Jinsi ya kuepuka kueneza #COVID19 JE Kaa angalau mita 2 kutoka kwa mtu yeyote Osha mikono yako mara kwa mara kwa sabuni na maji yanayotiririka Funika mdomo na pua unapokohoa Vaa barakoa Usiguse macho, pua au mdomo wako ikiwa mikono yako si safi. #KomeshaCorona",Public Health,
"In times of crisis, communities in need of support require assistance that is versatile to suit their needs and support recovery.","Wakati wa shida, jamii zinazohitaji usaidizi zinahitaji usaidizi ambao unaweza kukidhi mahitaji yao na kusaidia ahueni.",Disaster/Health,
"THE TECHNICAL AND VOCATIONAL EDUCATION AND TRAINING BILL, 2024","MSWADA WA ELIMU NA MAFUNZO YA UFUNDI NA UFUNDI, 2024",General,
We glad that majority of Kenyans have responded to our call to come forward for testing. This is commendable & we continue to appeal to all Kenyans to come out and get tested. #KomeshaCorona update.,Tunafurahi kwamba Wakenya wengi wameitikia wito wetu wa kujitokeza kupima. Hili ni jambo la kupongezwa na tunaendelea kutoa wito kwa Wakenya wote kujitokeza kupima. #KomeshaCorona sasisho.,Public Health,
This is due to the enhanced trade links between Kampala and different major cities in Kenya and the high-volume cross-border movement.,Hii ni kutokana na kuimarishwa kwa uhusiano wa kibiashara kati ya Kampala na miji mikuu tofauti nchini Kenya na harakati za juu za kuvuka mpaka.,Disaster/Health,
Girls and young women bear the brunt of El Niño rains in Kenya,Wasichana na wanawake vijana wanabeba mzigo mkubwa wa mvua za El Niño nchini Kenya,Disaster/Health,
Kilifi County: Drought Early Warning Bulletin for January 2023,Kaunti ya Kilifi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Januari 2023,Disaster/Health,
"In a visit to vaccination sites in February by the WHO Director of Immunization, Vaccines and Biologicals Dr Kate O'Brien, she said: ""I note that this vaccine has generated a lot of enthusiasm and excitement in communities, and the high demand for it is bringing caregivers and children to the clinics where children can also catch up on other vaccines and child interventions for protection.","Katika ziara yake katika maeneo ya chanjo mwezi Februari na Mkurugenzi wa Chanjo, Chanjo na Biolojia wa WHO, Dk Kate O'Brien, alisema: ""Ninatambua kuwa chanjo hii imeleta shauku na msisimko mkubwa katika jamii, na mahitaji yake makubwa yanaleta walezi na watoto kwenye kliniki ambapo watoto wanaweza pia kupata chanjo nyingine kwa ajili ya ulinzi na watoto.",Health,
Ambulance service delivers lifesaving care to Malian refugees in Mauritania,Huduma ya gari la wagonjwa inatoa huduma ya kuokoa maisha kwa wakimbizi wa Mali nchini Mauritania,General,
West Pokot: Drought Early Warning Bulletin for March 2022,Pokot Magharibi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2022,Disaster/Health,
Taita Taveta County: Drought Early Warning Bulletin for June 2022,Kaunti ya Taita Taveta: Taarifa ya Onyo la Mapema kuhusu Ukame Juni 2022,Disaster/Health,
(d) develop and enhance partnerships with industry and the private sector to generate greater impact;,(d) kuendeleza na kuimarisha ushirikiano na viwanda na sekta binafsi ili kuleta athari kubwa;,General,
Online harassment risks pushing Kenyan women out of politics,Unyanyasaji mtandaoni unahatarisha kuwasukuma wanawake wa Kenya kutoka kwenye siasa,Disaster/Health,
Wajir County: Drought Early Warning Bulletin for October 2024,Kaunti ya Wajir: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Oktoba 2024,Disaster/Health,
"The Kenya Cash Consortium's Locally Led Multi-Purpose Cash Response to Flood-Affected Refugees in Dadaab: Endline, March, 2024","Mwitikio wa Pesa wa Malengo Mbalimbali wa Kenya Cash Consortium kwa Wakimbizi Walioathiriwa na Mafuriko huko Dadaab: Endline, Machi, 2024",Disaster/Health,
Women enhance their tech skills in Kakuma refugee camp,Wanawake huongeza ujuzi wao wa teknolojia katika kambi ya wakimbizi ya Kakuma,Disaster/Health,
"East Africa Regional Maize Supply and Market Outlook, November 2022","Ugavi wa Mahindi wa Kanda ya Afrika Mashariki na Mtazamo wa Soko, Novemba 2022",Disaster/Health,
VIDEO: Sensitization of Kisumu and Siaya Education Stakeholders,VIDEO: Uhamasishaji wa Wadau wa Elimu Kisumu na Siaya,General,
"InTurkanaandBaringo counties, KRCS supported 20 schools with fortified porridge as part of a school‑based safety net that reached about6,120 childrenfor one term together with their parents, coordinated through the County Steering Group to avoid duplication.","Katika kaunti za Turkana na Baringo, KRCS ilisaidia shule 20 kwa uji ulioimarishwa kama sehemu ya mtandao wa usalama shuleni ambao ulifikia watoto wapatao 6,120 kwa muhula mmoja pamoja na wazazi wao, ulioratibiwa kupitia Kikundi cha Uendeshaji cha Kaunti ili kuepuka kurudiwa.",Security,
ServicesForm One SelectionScholarshipsNEMISTVET MISCertificate VerificationTVET TRACERDUAL TVETRecruitment Application,Huduma za Uteuzi wa Kidato cha KwanzaScholarshipsNEMISTVET Uthibitishaji wa Cheti POTOFUTVET TRACERDUAL TVETRecruitment Application,General,
Lamu County: Drought Early Warning Bulletin for August 2024,Kaunti ya Lamu: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Agosti 2024,Disaster/Health,
Zimbabwe strengthens health workforce to advance universal health coverage,Zimbabwe inaimarisha nguvu kazi ya afya ili kuendeleza huduma ya afya kwa wote,General,
The Probable Climate Scenarios of 2023 and 2024 in Kenya. (A period of failed rainfall seasons and elevated off-seasonal rainfall),Matukio Yanayowezekana ya Hali ya Hewa ya 2023 na 2024 nchini Kenya. (Kipindi cha misimu ya mvua iliyoshindikana na kuongezeka kwa mvua zisizo za msimu),Disaster/Health,
Marsabit County: Drought Early Warning Bulletin for August 2023,Kaunti ya Marsabit: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Agosti 2023,Disaster/Health,
Urgent Investment Needed in Climate Adaptation in Northern Kenya,Uwekezaji wa Haraka Unaohitajika katika Kukabiliana na Hali ya Hewa Kaskazini mwa Kenya,Disaster/Health,
MOZAMBIQUE STRENGTHENS NATIONAL DIALOGUE TO INVEST IN THE HEALTHCARE WORKFORCE,MSUMBIJI YAIMARISHA MAZUNGUMZO YA KITAIFA ILI KUWEKEZA KATIKA NGUVU KAZI YA HUDUMA YA AFYA.,General,
"Another, Omar, heard the announcement for vaccination at prayer at the Swalihini Mosque, Mombasa and made up his mind to go for it.","Mwingine, Omar, alisikia tangazo la chanjo katika swala katika Msikiti wa Swalihini, Mombasa na akaamua kwenda kulipokea.",Health,
Isiolo County: Drought Early Warning Bulletin for June 2024,Kaunti ya Isiolo: Taarifa ya Onyo la Mapema kuhusu Ukame Juni 2024,Disaster/Health,
"Research Terms of Reference: Exploring Climate Resilient Livelihoods Among Refugees and Host Communities in Kenya and Uganda, REG2502 (January 2025, V1.0)","Masharti ya Marejeleo ya Utafiti: Kuchunguza Maisha Yanayostahimili Hali ya Hewa Miongoni mwa Wakimbizi na Jumuiya Wenyeji Nchini Kenya na Uganda, REG2502 (Januari 2025, V1.0)",Disaster/Health,
Kajiado County: Drought Early Warning Bulletin for July 2022,Kaunti ya Kajiado: Taarifa ya Onyo la Mapema kuhusu Ukame Julai 2022,Disaster/Health,
Garissa County: Drought Early Warning Bulletin for April 2023,Kaunti ya Garissa: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Aprili 2023,Disaster/Health,
"Acting immediately, Lucy administered lifesaving medicine to control the bleeding.","Kuchukua hatua mara moja, Lucy alitoa dawa ya kuokoa maisha ili kudhibiti damu.",Disaster/Health,
Joint statement urging immediate halt to Ogiek evictions in Kenya's Mau Forest: protecting indigenous rights and biodiversity,Taarifa ya pamoja inayohimiza kusitishwa mara moja kwa kufukuzwa kwa Ogiek katika Msitu wa Mau nchini Kenya: kulinda haki za asili na viumbe hai.,Disaster/Health,
"Kenya Food Security Outlook, October 2023 - May 2024","Mtazamo wa Usalama wa Chakula nchini Kenya, Oktoba 2023 - Mei 2024",Disaster/Health,
Kilifi County: Drought Early Warning Bulletin for October 2024,Kaunti ya Kilifi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Oktoba 2024,Disaster/Health,
Turkana County: Drought Early Warning Bulletin for July 2022,Kaunti ya Turkana: Taarifa ya Onyo la Mapema kuhusu Ukame Julai 2022,Disaster/Health,
