Kiswahili,Domain
"Chanjo ya malaria ya RTS,S/AS01 (RTS,S) ni chanjo ya kwanza inayopendekezwa kuzuia malaria kwa watoto.",Health
Kaunti ya Turkana: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Januari 2024,Disaster/Health
Utunzaji wa hospitali kwa ugonjwa mbaya katika mipangilio ya rasilimali ya chini: masomo yaliyopatikana wakati wa janga la COVID-19,Disaster/Health
Madhara sugu na ya kudumu ya joto huchangia mzigo mkubwa kwa afya na jamii.,Health
Katibu Mkuu akaribisha uchaguzi mkuu wa amani nchini Kenya,Disaster/Health
Kaunti ya Baringo: Taarifa ya Onyo la Mapema kuhusu Ukame la Aprili 2024,Disaster/Health
Kaunti ya Mandera: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Agosti 2024,Disaster/Health
"Malaria inaweza kuzuilika kwa kutumia vyandarua, kunyunyizia kaya dawa za kuua wadudu, kuchuja madirisha ili kuzuia mbu wasiingie, dawa za kinga kwa wajawazito pale inapobidi na hatua za kimazingira. #SikuYaMalaria Duniani #ZeroMalariaInaanzaNami #KomeshaCorona",Public Health
Mabango ya COVID-19 yaliyochapishwa na USAID/MSP yamewasilishwa katika kaunti mbalimbali ili kuongeza uhamasishaji wa kuzuia kuenea kwa virusi vya #KomeshaCorona sasisho.,Public Health
Kaunti ya Laikipia: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2022,Disaster/Health
"Malengo ya Programu ni kupunguza tofauti za kikanda katika matokeo ya kujifunza, kuboresha uhifadhi wa wasichana katika elimu ya msingi ya juu, na kuimarisha mifumo ya kutoa matokeo ya elimu sawa.",General
Ndani ya Vita vya Kudhibiti Mbegu nchini Kenya: Kwa Nini Wakulima Wadogo Wanataka Kushiriki Mbegu za Kienyeji,Disaster/Health
"Mtazamo wa Usalama wa Chakula Kenya: Uhaba wa chakula katika maeneo ya wafugaji unazidi kuwa mbaya huku kukiwa na utabiri wa mvua fupi za chini ya wastani, Agosti 2025",Disaster/Health
"Mama wa watoto watano mwenye umri wa miaka 32 kutoka Gatwekera katika kaunti ndogo ya Kibera, Kaunti ya Nairobi, alirejea nyumbani na kupata kila kitu kimezama, ikiwa ni pamoja na rekodi za chanjo za watoto wake.",Health
Upangaji shirikishi katika nchi kavu za Kenya: Muundo wa Mipango ya Maendeleo ya Kata,Disaster/Health
Afrika inarekodi zaidi ya kesi 200 000 za COVID-1911 Juni 2020,General
Serikali huchapisha faharisi ya bei ya soko kwa wakulima wadogo.,Agriculture
"Kaunti ya Samburu, Kenya - Katika kijiji cha Lolmolong, katika Kaunti ya Samburu kaskazini mwa Kenya, Neshoo Leaungokiok alifanya kazi usiku kucha, mbali na kituo cha afya cha karibu. Bila usafiri wowote na safari ya saa sita ...",General
Ripoti ya Muhtasari wa Kenya: Uchambuzi wa haraka wa jinsia na mahitaji huko Kwale (Novemba 2022),Disaster/Health
Kaunti ya Embu (Mbeere): Taarifa ya Onyo la Mapema kuhusu Ukame la Januari 2024,Disaster/Health
Sauti Trade Insights COVID-19 Bulletin Q1/Q2 2022 (Julai 2022),Disaster/Health
"Wakati wa kujiweka karantini, unashauriwa kukaa katika chumba tofauti, kuua nyuso na nguo, kuepuka kushiriki vitu vya nyumbani, ikiwa ni pamoja na vyombo, taulo na matandiko, usipokee wageni. Ukihitaji piga simu timu za dharura za MOH kwa: 719 au 0729471414 l/0732353535 kwa usaidizi",Public Health
"Takriban katikati ya mradi huu, Acted Kenya inaendelea kutoa mafunzo ya ujuzi wa kifedha kwa Vikundi vya Wanawake vya Kujisaidia, kila moja likijumuisha wanachama 30 hadi -40.",Disaster/Health
"1.Usimamizi wa Sera ya Elimu ya Utotoni, Msingi, Sekondari na Mafunzo ya Ualimu",General
Kwa kifupi: Mafuriko ya El Niño yanazidisha mahitaji ya kibinadamu nchini Kenya (Machi 2024),Disaster/Health
"SEHEMU YA V - KUZUIA UKATILI WA FEDHA, Ufadhili wa UGAIDI NA UFADHILI WA UENEZAJI KWA MTOA HUDUMA AINA YA MALI 33— Mamlaka ya mamlaka husika ya udhibiti kwa madhumuni ya AML/CFT/CPF. 34- Adhabu kwa ukiukaji unaohusiana na utakatishaji fedha, ufadhili wa ugaidi.",Disaster/Health
"Kwa miaka mingi, KCC imeunda zana, mifumo na mbinu za kutoa majibu yaliyolengwa na kwa wakati mwafaka ya sekta mbalimbali kulingana na kipaumbele cha mahitaji na ufuatiliaji endelevu wa soko, kuwezesha muungano huo kutoa usaidizi kwa zaidi ya watu 500,000.",Disaster/Health
Kaunti ya Isiolo: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Septemba 2022,Disaster/Health
KomeshaCorona Chukua jukumu la kujilinda wewe na wengine.,Public Health
"Sheria za kuhakikisha usawa na usawa katika utozaji ushuru, kutoa msamaha wa ushuru pale inapohalalishwa na kusawazisha matumizi ya ushuru ambayo yanapunguza mapato ambayo yangetumiwa kutekeleza miradi inayoboresha ustawi wa Wakenya wote; na 4.",Governance
Kenya - Dashibodi ya Ufuatiliaji wa Flow Raundi ya 4 (Julai-Oktoba 2025),Disaster/Health
"Anasema kipato ni kidogo sana kuweza kugharamia chakula, mahitaji ya kimsingi, na ada kwa watoto wake watano waliokuwa wakisoma shule ya Kurani inayogharimu dola 35 kwa mwezi.",Education
"Kwa kuchanganua ufikiaji wa huduma muhimu, riziki, na uwiano wa kijamii, SMI inatambua mapungufu katika juhudi za kurejesha na kuarifu afua zinazolengwa.",Disaster/Health
Waziri Julius Ogamba atia saini MOU ya Elimu na mwenzake wa Denmark Christina Egelund,General
Kenya: Janga - 04-2024 - Mlipuko wa Kipindupindu #2 (2024-05-29),Disaster/Health
Wafadhili lazima watume fedha haraka huku hali ya kibinadamu inazidi kuzorota nchini Kenya,Disaster/Health
"Viongozi 100 wa dini za Kikristo, Kiislamu na Kihindu washiriki katika mapambano dhidi ya maambukizi mapya ya VVU, mimba za utotoni na ukatili wa kijinsia.",Disaster/Health
Kenya - Kaunti ya Garissa - Dadaab - Kambi ya Wakimbizi ya Dagahaley - Ofisi za Utawala na Miundombinu ya Vifaa vya Jamii - hadi Mei 2022,Disaster/Health
"WHO, UNICEF wahimiza shule zifunguliwe kwa usalama barani Afrika20 Agosti 2020",General
Kenya: Fedha za kusaidia uhaba wa walimu katika kambi ya wakimbizi,Disaster/Health
Muhtasari wa ILO - Kuunda njia: Kuimarisha ajira na kujumuisha jamii zinazowakaribisha na wakimbizi wa mijini katika sekta ya ujenzi nchini Kenya (Agosti 2025),Disaster/Health
"Mwitikio wa Wakimbizi wa Kenya Chini ya Dhiki: Kupunguzwa kwa Ufadhili, Usaidizi Tofauti, na Kuongezeka kwa Mgogoro wa Uwiano wa Kijamii (Agosti 2025)",Disaster/Health
Sheria inatoa msingi wa kisheria wa udhibiti wa majanga nchini Kenya.,Disaster/Health
"Nchini Kenya, mradi huu unatekelezwa ndani ya jamii 9 katika Kaunti za Pokot Magharibi na Turkana, kwa kuzingatia maendeleo yaliyoundwa na vikundi vya wanawake vilivyoungwa mkono chini ya mradi wa awali wa kilimo na maisha, THRIVE.",Disaster/Health
GIEWS Muhtasari wa Nchi: Kenya 12-Juni-2023,Disaster/Health
Kaunti ya Baringo: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2024,Disaster/Health
MSF: Mbinu ya kupima na kutibu: Jinsi jamii zinavyoongoza katika matibabu ya malaria,Health
"Muhtasari wa Nchi wa WFP Kenya, Novemba 2024",Disaster/Health
Ushirikishwaji wa umma na mgao sawa wa rasilimali nchini Kenya: Masomo kutoka Isiolo na Makueni.,Disaster/Health
"Kituo cha simu tunachozindua leo, kitafanya kazi kama chombo kati ya uongozi wa Chama cha Kitaifa cha Wauguzi Kenya (NNAK), na wanachama wao kote nchini; Dkt. Mercy Mwangangi, CAS Afya.",Public Health
Kaunti ya Lamu: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2022,Disaster/Health
Kenya inazindua mpango wa 'Tahadhari za Mapema kwa Wote' ili kuimarisha kujitayarisha kwa majanga,Disaster/Health
"Katika wiki iliyopita, KUCCPS imeendesha mikutano ya ushauri wa taaluma katika Kaunti ya Bungoma ikishirikiana na Kurugenzi ya Elimu ya Kaunti.",Education
"Muhtasari wa Nchi wa WFP Kenya, Aprili 2022",Disaster/Health
Ushauri wa Vyombo vya Habari - UNDP Kenya kwa ushirikiano na Hazina ya Kitaifa na Mipango itakuwa mwenyeji wa uzinduzi wa Ripoti ya Maendeleo ya Binadamu Duniani 2023/2024 - Breaking the Gridlock: Reimagining Cooperation in a Polarized World,Disaster/Health
Kaunti ya Isiolo: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Agosti 2023,Disaster/Health
"Matukio ya hali ya hewa, ikiwa ni pamoja na ukame na mafuriko ya mara kwa mara, yanazidisha udhaifu uliopo na kumomonyoa ustahimilivu wa kaya.",Disaster/Health
Kaunti ya Isiolo: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Februari 2023,Disaster/Health
Wazazi na Jamii ambao matarajio yao yatatimizwa kupitia taarifa zaidi na sauti iliyoimarishwa katika usimamizi wa shule ili kuboresha ubora wa elimu.,General
RIPOTI RUSHWA KATIKA UWEKEZAJI WA WANAFUNZI WA DARASA LA 10 KATIKA SHULE YA WAKUU,General
Mpango wa Kukabiliana na Mgogoro wa Kenya 2024,Disaster/Health
Kaunti ya Taita Taveta: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Februari 2023,Disaster/Health
Kaunti ya Kitui: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Juni 2023,Disaster/Health
Kaunti ya Narok: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Oktoba 2024,Disaster/Health
"Mnamo 2026, KCC, kwa usaidizi wa Tume ya Ulaya (DG ECHO), inatekeleza hatua inayolenga kutoa Msaada wa Pesa Madhumuni (MPCA) kwa jamii zilizoathiriwa na shida kote nchini Kenya.",Disaster/Health
Kupitishwa kwa rekodi za matibabu za kielektroniki za utunzaji wa magonjwa sugu katika kambi za wakimbizi za Kenya,Disaster/Health
Kaunti ya Taita Taveta: Taarifa ya Onyo la Mapema kuhusu Ukame Aprili 2023,Disaster/Health
"Mambo ya Uhamaji: Manufaa ya Wafugaji Kuhama kwa Lishe katika Kaunti za Marsabit na Isiolo, Kenya.",Disaster/Health
Kaunti ya Wajir: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2024,Disaster/Health
"Taarifa za uga kutoka kaunti ya Mandera zinaonyesha mbinu hii iliyounganishwa: baada ya vifo vingi vya mifugo kurekodiwa katika Rhamu(Chabii Barr), KRCS iliwasilisha kwa haraka lita 28,000 za maji salama pamoja na huduma za matibabu kwa kaya zilizo hatarini.",Health
Jihadhari na barua pepe zinazojifanya kuwa zinatoka benki zinazoomba uthibitishaji wa akaunti.,Security
"Kupitia diplomasia ya kibinadamu, ushirikishwaji, na usaidizi wa kiutendaji, juhudi zetu zilibaki zikilenga katika kulinda utu, kuimarisha heshima kwa Sheria ya Kimataifa ya Kibinadamu, na kujibu mahitaji yanayoendelea ya watu walioathiriwa na migogoro na vurugu katika eneo lote.",Security
Masomo kutokana na kujumuishwa kwa wakimbizi katika Mfuko wa Kitaifa wa Bima ya Hospitali (NHIF) - 05 Aprili 2022,Disaster/Health
"Leo, tunasherehekea ushirikiano wetu na @gavi , muungano wa kimataifa wa chanjo, ulioanzishwa mwaka wa 2000, ili kuleta pamoja sekta za umma na za kibinafsi duniani kote ili kuboresha upatikanaji wa chanjo mpya kwa watoto katika nchi zinazoendelea. #KomeshaCorona sasisho.",Public Health
Kenya - Kaunti ya Turkana -Ramani ya Miundombinu ya Kaunti Ndogo ya Turkana (29/08/2024),Disaster/Health
Kaunti ya Tana River: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2023,Disaster/Health
Kaunti ya Wajir: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Juni 2022,Disaster/Health
"Katika kaunti za mbali kama Samburu, Wajir, Lamu na zingine ambapo umbali kutoka kwa kituo cha afya au huduma zingine muhimu ulikuwa kizuizi kikubwa, timu za afya zilizowezeshwa zilishangazwa sana na utayari wa chanjo.",Health
Taarifa ya Tahadhari ya Mapema ya Kitaifa (Novemba 2023),Disaster/Health
"Kupungua kwa hivi majuzi kwa usaidizi wa kibinadamu, ikiwa ni pamoja na kupunguzwa kwa mgao wa chakula na mbinu tofauti za usaidizi kulingana na hali ya hatari ya kaya, kuna uwezekano wa kuwa na athari kubwa kwa matumizi ya chakula, madeni, mikakati ya kukabiliana, uwiano wa kijamii, na ustawi wa kaya kwa ujumla.",Disaster/Health
Ugonjwa wa #KomeshaCorona usisambae - safisha na kuua nyuso na vitu vilivyo karibu nawe ili kuzuia #COVID19 @RedCrossKe @Amref_Kenya @KenyaGovernors @SpokespersonGoK @PSofKenya @KenyaMedics_KMA @KNH_hospital @CDCCa @UNICEFKenya @ppbkenya @PDUDeliveryoff @PUDeliveryoff @,Public Health
Kuwezesha mazungumzo ya ndani na baina ya jamii huko Mandera ili kukomesha uhasama,Disaster/Health
Kaunti ya Baringo: Taarifa ya Onyo la Mapema kuhusu Ukame la Mei 2024,Disaster/Health
Zaidi ya nchi 10 barani Afrika zimeripoti kesi za COVID-1912 Machi 2020,General
"Muhtasari wa Nchi wa WFP wa Kenya, Machi 2025",Disaster/Health
Kaunti ya Meru (Meru-Kaskazini): Taarifa ya Onyo la Mapema kuhusu Ukame Aprili 2024,Disaster/Health
"Kupitishwa kwa simu mahiri miongoni mwa wafanyabiashara nchini Kenya na Uganda, Machi 2022",Disaster/Health
Kenya: Ukame - Mipaka ya Kaunti (14 Apr 2023),Disaster/Health
"HOTUBA YA UFUNGUZI WA WAZIRI WA ELIMU DKT. J.G. KIANO, EGH, PHD, WAKATI WA MKUTANO WA PILI WA ELIMU YA UALIMU TAREHE 6 MEI, 1968.",General
Kenya - Kaunti ya Garissa - Dadaab - Ifo & Ifo 2 Ramani ya Miundombinu ya Kambi za Wakimbizi (29/08/2024),Disaster/Health
Vituo hivyo vitatu nchini Kenya ni miongoni mwa Vituo 24 vya Ubora wa Afrika (ACE) vilivyofadhiliwa hadi Dola za Marekani milioni 6 katika kipindi cha mradi. Madhumuni ya mradi wa ACE II ni kuimarisha taasisi za elimu ya juu zilizochaguliwa za Mashariki na Kusini mwa Afrika ili kutoa elimu bora ya uzamili na kujenga uwezo wa shirikishi wa utafiti katika maeneo ya kipaumbele ya kikanda.,General
"Nambari hizi zinaonyesha kuwa ni suala la muda tu kabla ya kaunti zote kurekodi kisa cha COVID-19. Wacha tusiwe na hofu bali tufuate kabisa hatua za kuzuia, ili kuzuia maambukizo yaliyoenea katika kaunti. #KomeshaCorona sasisho.",Public Health
Ulinzi wa mtoto katika dharura: Miongozo ya uendeshaji kwa wahudumu wa ulinzi wa watoto nchini Kenya 2023,Disaster/Health
Tathmini ya Mahitaji ya Sekta Mbalimbali ya Kenya (MSNA): Kaya za Wakimbizi | Juni 2025,Disaster/Health
Kaunti ya Garissa: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2024,Disaster/Health
"Nchi kama vile Botswana zimepata matokeo chanya kwa kuimarisha miundo ya jumuiya inayosaidia kuhamasisha wananchi, kutambua matatizo ya afya katika hatua za awali, na kuimarisha uhusiano kati ya jamii na mfumo wa afya. Kwa hivyo, Warsha ya Kitaifa ya Mawasiliano ya Afya inaweza kwenda zaidi ya mpango wa mara moja; inaweza kukuzwa na kuwakilisha mabadiliko makubwa katika namna tunavyofikiri kuhusu afya ya umma nchini Angola, tukiacha kutazama mawasiliano kama njia ya kueneza tu na kuyageuza kuwa chombo cha ushiriki, kuzuia, na kujenga uaminifu.",General
Kaunti ya Kwale: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Juni 2023,Disaster/Health
Pokot Magharibi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Mei 2022,Disaster/Health
Taarifa ya Tahadhari ya Mapema ya Kitaifa (Aprili 2023),Disaster/Health
Walionusurika wanadai haki kwa unyanyasaji wa kijinsia wa kidijitali,Disaster/Health
"Uhitaji Mkubwa wa Maji kwa Wakimbizi huko Turkana, Kenya",Disaster/Health
Tathmini ya Haraka ya Mashirika ya Kenya (KIRA): Ripoti ya Tathmini ya Mafuriko ya Kaunti ya Wajir Machi 28 - 2 Aprili 2023,Disaster/Health
Kenya: Wakimbizi waliosajiliwa na wanaotafuta hifadhi (kuanzia tarehe 31 Machi 2022),Disaster/Health
"Ikumbukwe kwamba takriban robo ya wanawake wote walio na HPV hawakufanyiwa vipimo, na kwa hivyo utaratibu madhubuti wa kushindwa kuwafuatilia na kuwafuatilia wanawake kama hao ni muhimu.",Health
"Ripoti ya Kila Wiki ya Ujasusi wa Mlipuko wa Afrika CDC, 03 Februari 2025",Disaster/Health
Ujumbe mfupi wa ACPS - Kenya: Mafuriko katika kaunti za mashariki na kaskazini (16 Novemba 2023),Disaster/Health
Pata nafuu ya kujifunza! Jiunge na madarasa ya tiba baada ya mafuriko.,Education
Mwitikio wa migogoro unaonyesha tofauti za utawala nchini Kenya,Disaster/Health
"Kila mwanachama anatarajiwa kutii kanuni za sera ya uanachama, ambayo hutoa mfumo wa kukuza hisia kali za jumuiya na viwango vya juu vya maadili. Kwa kujiandikisha kama mwanachama wa Msalaba Mwekundu wa Kenya, hautakuwa tu unajiunga na shirika linaloheshimika, lakini pia utakuwa sehemu ya timu ambayo imejitolea kuleta mabadiliko chanya kwa maisha ya wale wanaohitaji.",General
Pokot Magharibi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2023,Disaster/Health
Uchambuzi wa muktadha wa mfumo wa chakula wa Kenya na mazingira ya sera,Disaster/Health
"Mamlaka ya Kitaifa ya Kukabiliana na Ukame nchini (NDMA) iliainisha kaunti zote mbili miongoni mwa mikoa iliyoathirika zaidi nchini Kenya, huku uhaba mkubwa wa chakula na maji ukizidisha mgogoro huo.",Disaster/Health
Ninatoa wito kwa wale walio katika vituo vilivyowekwa karantini kuweka umbali wa kimwili. #KomeshaCorona,Public Health
"COVID-19 inasimamisha huduma muhimu za afya ya akili barani Afrika, utafiti wa WHO08 Oktoba 2020",General
"MAONI YA KATIBU WA BARAZA LA MAWAZIRI, MHE. EZEKIEL MACHOGU, KATIBU WA BARAZA LA MAWAZIRI ELIMU JUU YA HALI YA UTEKELEZAJI WA MAPENDEKEZO YA CHAMA KAZI CHA RAIS KUHUSU MABADILIKO YA ELIMU.",General
Kenya: Wakimbizi waliosajiliwa na wanaotafuta hifadhi (tangu 28 Februari 2025),Disaster/Health
"Sambamba na kupunguzwa kwa utumiaji wa mikakati ya kukabiliana na hali ya dharura, mienendo hii inapendekeza kwamba usaidizi ulisaidia kupunguza shinikizo la haraka la kifedha na kupunguza utegemezi wa kukabiliana na hali mbaya.",Disaster/Health
Kenya: Mvua Kubwa na Taarifa ya Mafuriko - Sasisho la Flash #2 (19 Aprili 2024),Disaster/Health
"Vijana ndio kitovu chetu cha mapambano dhidi ya ugonjwa huu. Ni safari inayohitaji vijana kuwajibika, Kuzingatia na kuwa sehemu ya suluhisho la kupambana na Covid 19 na kuhakikisha umbali wa mwili unazingatiwa... #KomeshaCorona",Public Health
Kenya na Uganda: Athari za Hatari za Hali ya Hewa kwa Maisha na Upatikanaji wa Huduma Miongoni mwa Wakimbizi na Jumuiya zinazowapokea (Novemba 2025),Disaster/Health
Kuziba Pengo la Taarifa za Hali ya Hewa,Disaster/Health
Ramani ya Nchi ya Kenya FY 2025,Disaster/Health
"Mradi wa I Choose Life-Africa's Jielimishe Girls' Education Challenge (GEC) unalenga kuboresha nafasi za maisha za wasichana 10,123 waliotengwa na wavulana 6,890 kutoka kwa jamii katika Kaunti za Laikipia, Meru na Mombasa. Mradi huo wa miaka mitano (5), unaofadhiliwa na Serikali ya Uingereza kupitia Idara ya Maendeleo ya Kimataifa (DfID) utaanza Aprili 2017 hadi Machi 2022.",General
Umoja wa Mataifa na washirika watoa wito wa dola milioni 472.6 kujibu mwaka wa 2023 huku ukame ukizidi kuongezeka nchini Kenya.,Disaster/Health
Kaunti ya Mandera: Taarifa ya Onyo la Mapema kuhusu Ukame la Mei 2023,Disaster/Health
India kutuma msaada wa dola za Marekani milioni 1 wa misaada ya mafuriko nchini Kenya,Disaster/Health
"Mwongozo huu wa Mwananchi kwa hiyo, unalenga kusambaza taarifa za Bajeti ya Mwaka wa Fedha wa 2024/2025 kwa makundi yote ya jamii.",Governance
"Ninashukuru kujifungua salama na kupata mtoto mwenye afya njema,"" anasema Leaungokiok, akimkumbatia bintiye.",Health
"Mpango wa Hanaano ni sehemu ya mchango wa Ireland katika Mpango wa Utekelezaji wa Kimataifa (GAP) kuhusu Upotevu wa Mtoto, mpango shirikishi unaolenga kushughulikia na kupunguza upotevu wa watoto duniani kote.",Disaster/Health
Kaunti ya Nyeri (Kieni): Taarifa ya Onyo la Mapema kuhusu Ukame Machi 2022,Disaster/Health
Kenya: Wakimbizi waliosajiliwa na wanaotafuta hifadhi (kuanzia tarehe 31 Januari 2025),Disaster/Health
Dashibodi ya Kukabiliana na Ukame Kenya (Mei 2022),Disaster/Health
Kaunti ya Marsabit: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Aprili 2024,Disaster/Health
"Kenya, WHO yazindua mpango wa kijasiri wa kubadilisha majibu ya dharura ya kiafya barani Afrika",Disaster/Health
Rapport sur les tendances infodémiques de l'AIRA du 3 au 10 Oktoba 2023 (Rapport hebdomadaire n°92),Disaster/Health
"Kituo cha Dharura pia kitasimamia shughuli mbalimbali za kanda ndogo katika Afrika Mashariki, ikiwa ni pamoja na kutunza akiba ya vifaa vya matibabu na vifaa na kuweka vituo vya wafanyakazi wa WHO ili kuhakikisha kupelekwa kwa haraka wakati wa dharura.",Health
Kenya: Mvua Kubwa na Taarifa ya Mafuriko - Sasisho la Flash #1 (11 Aprili 2024),Disaster/Health
Ripoti ya Hali ya Kibinadamu ya UNICEF Kenya Nambari 8 - Mwisho wa Mwaka 2023,Disaster/Health
"Kenya, Afrika | Dharura Changamano - Sasisho la Uendeshaji #1 (MDRKE068)",Disaster/Health
Kuongeza fursa za mafunzo kwa wanaoongezeka wanaomaliza shule na washiriki wengine waliofunzwa ili kuongeza uwezo wa kuajiriwa; Kutoa uboreshaji endelevu wa ujuzi na maarifa kwa kasi na uwezo wa wafunzwa;,General
"Kinyume chake, katika maeneo ya kaskazini-mashariki yaliyoathiriwa na ukame, bei ilipungua kwa kasi zaidi ikionyesha kuzorota kwa hali ya mwili wa wanyama.",Disaster/Health
Kaunti ya Wajir: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Februari 2024,Disaster/Health
"Karatasi Muhtasari ya Nawiri: Maisha Yabadilika, Ukame, na Utapiamlo huko Illeret, Kaskazini mwa Kenya.",Disaster/Health
"Kenya, Djibouti na Tanzania: Ukweli na Takwimu Januari - Desemba 2022",Disaster/Health
Kenya: Mlipuko wa Kipindupindu - Ripoti ya Mwisho ya DREF (MDRKE054),Disaster/Health
"Changamoto za elimu katika kambi za wakimbizi katika Kaunti ya Turkana, Kenya: mapitio mafupi ya fasihi",Disaster/Health
Katibu wa Baraza la Mawaziri wa Afya Mutahi Kagwe leo amekutana na Kamishna Mkuu wa Kenya katika Jamhuri ya Muungano wa Tanzania Balozi Dan Kasungu ambaye alimtembelea katika ofisi yake ya Afya house @DanMKazungu,Public Health
"Mabadiliko ya hali ya hewa na elimu huko Turkana, Kenya",Disaster/Health
Kaunti ya Taita Taveta: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Septemba 2024,Disaster/Health
"Brazzaville – Mohamed anawasili katika Kituo cha Afya cha Moungali kaskazini mwa Brazzaville akiwa amembeba mtoto wake wa kiume wa siku kumi, Petito, mikononi mwake. Asubuhi hii, yeye ndiye anayeleta mtoto wake kwa chanjo. ""Mama yake…",General
Jeshi la Wokovu lakabiliana na ukame mkubwa nchini Kenya,Disaster/Health
"Waajiri wanahimizwa kushauri, wafanyakazi wao na umma kwa ujumla kufikia maeneo yao ya kazi, kuzingatia hatua zilizowekwa za kuzuia mikono, kuweka umbali wa kijamii na kimwili, kuzingatia adabu za kikohozi, kuepuka kugusa uso, na matumizi sahihi ya barakoa.",Public Health
"Hebu tuzibe pengo la utunzaji na kuhakikisha kila kuzaliwa ni salama na kuungwa mkono."" Dk.",Health
Kaunti ya Marsabit: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Oktoba 2022,Disaster/Health
Kaunti ya Wajir: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Desemba 2023,Disaster/Health
Pokot Magharibi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Julai 2022,Disaster/Health
Hatua ya Mapema ya Kutarajia: Kuzingatia Uingiliaji wa Jamii Yenye Mwitikio Unaolengwa wa Afya ya Akili ili Kuchanganya Athari za Mabadiliko ya Tabianchi.,Disaster/Health
UNHCR Kenya: Taarifa ya Ufadhili ya 2024 (kuanzia tarehe 29 Februari 2024),Disaster/Health
Jinsi huduma za taarifa za hali ya hewa (CIS) zinaweza kuwasaidia wafugaji katika Pembe ya Afrika (Juni 2024),Disaster/Health
Kaunti ya Turkana: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Oktoba 2024,Disaster/Health
Jamii zinasaidia kuendeleza maendeleo dhidi ya Ebola katika Jamhuri ya Kidemokrasia ya Kongo,General
Kuongeza utayari wa kuzuka kwa coronavirus nchini Ethiopia21 Februari 2020,General
"Sasisho la Ujumbe Muhimu wa Kenya: Kuchelewa kuanza kwa mvua kubwa ya Machi hadi Mei inayotarajiwa kuzidisha uhaba wa chakula, Machi 2022.",Disaster/Health
Kaunti ya Marsabit: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Septemba 2023,Disaster/Health
"Taarifa ya Bei ya Kenya, Novemba 2022",Disaster/Health
Wakulima nchini Kenya wanapambana na uhaba wa chakula kwa kutengeneza vyakula vyao vya bei nafuu vya mifugo | IFRC,Disaster/Health
"Usaidizi wa Pesa wa Tahadhari Uliowekwa Ndani ya Kenya Cash Consortium kwa Kaya Zilizoathiriwa na Maafa katika kambi ya Wakimbizi ya Dadaab: Msingi, Mei, 2024.",Disaster/Health
"Abshiro Adan Ibrahim, 50, aliomba uraia na kuwa raia wa Kenya mnamo 2025 baada ya kuishi katika kambi za wakimbizi za Dadaab kwa miaka 32.",Governance
Mafunzo kutoka kwa wajaribio: kuondokana na mapungufu ya ujuzi karibu na ratiba ya chanjo ya malaria ili kuunga mkono uchukuaji wa chanjo.,Disaster/Health
Kaunti ya Baringo: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Agosti 2023,Disaster/Health
"HOTUBA YA KATIBU WA BARAZA LA MAWAZIRI WIZARA YA ELIMU JULIUS MIGOS OGAMBA, E.B.S WAKATI WA TAMASHA LA 96 LA MUZIKI WA KENYA GALA PERFORMANCE MOI GIRLS -ELDORET TAREHE 13 AUGUST 2024",General
"Watoto wachanga, wazee, na watu wanaoishi na magonjwa sugu au ulemavu wanakabiliwa na hatari kubwa, ikichangiwa na upatikanaji mdogo wa maji safi kwa bei nafuu.",Health
Kaunti ya Lamu: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Desemba 2023,Disaster/Health
"Kenya - Taarifa Muhimu ya Ujumbe: Mvua fupi duni za kipekee zinazidisha uhaba wa chakula, Novemba 2025",Disaster/Health
Mpango huo unalenga kuhakikisha kuwa Waafrika bilioni moja wanalindwa vyema dhidi ya dharura za kiafya ifikapo mwisho wa 2025.,Health
"Mtazamo huu unajumuisha mwitikio wa dharura, hatua za mapema, na kujenga uthabiti kupitia uingiliaji kati unaoongozwa na jamii, wa sekta mbalimbali unaolenga mahitaji ya ndani.",Disaster/Health
