English,Kiswahili,Ekegusii,Domain,PSA_Probability,Is_PSA
"How should I put on and take off a face mask? Before putting on the mask, wash your hands with soap & water or an alcohol-based hand rub. Cover your mouth and nose with the mask ensuring that it is intact and it fits snugly to your face. #KomeshaCorona","Je, nivae na kuvua vipi barakoa ya uso? Kabla ya kuvaa barakoa, osha mikono yako kwa sabuni na maji au kusugua mikono iliyo na pombe. Funika mdomo na pua yako na barakoa ili kuhakikisha kwamba ni safi na inalingana vyema na uso wako. #KomeshaCorona",,Public Health,0.6912,1
"Farming along river sides can help rippariàn section. Study that program, fertility and how you can launch the same.",,"Oboremi bwebimeri bia roche nigo egkonya riroba . Manya igoro yomoroberio oyio, obotobu na buna orachake oboremi bwebimeri biaroche.",Agriculture,0.6599,1
Support distance learning 2024.,Saidia kujifunza kwa umbali 2024.,Segeta amasomo goetera eintaneti omwaka 2024.,Education,0.895,1
"""I need to ensure that the cargo leaving for the Democratic Republic of the Congo is well taken care of and loaded in a clear way so that it may not be damaged,"" says Oloo.","“Nahitaji kuhakikisha kuwa mizigo inayoondoka kuelekea Jamhuri ya Kidemokrasia ya Kongo inatunzwa vyema na kupakiwa kwa njia inayoeleweka ili isiharibike,” anasema Oloo.",,Health,0.5112,0
Kenya Drought Response Dashboard (November 2022),Dashibodi ya Kukabiliana na Ukame Kenya (Novemba 2022),N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.9131,1
Teach farmers about maize seeds that are drought resistant.,,Kworokereria abaremi igoro yembusuro yebituma ekoremereria eguragura..,Agriculture,0.883,1
Mandera County: Drought Early Warning Bulletin for December 2023,Kaunti ya Mandera: Taarifa ya Onyo la Mapema kuhusu Ukame la Desemba 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8611,1
Ministry of Education develops tailored e-learning content for refugee learners in designated camps and resettlement areas.,,Eminisitiri yechisemi nkorosia ere amasomo abeene arengete amasomo goetera eintaneti ase abana ba baria batamire korwa chinse chiabo babekire amo ase chikambi na asande anga buna ayio.,Education,0.8823,1
"InTurkanaandBaringo counties, KRCS supported 20 schools with fortified porridge as part of a school‑based safety net that reached about6,120 childrenfor one term together with their parents, coordinated through the County Steering Group to avoid duplication.","Katika kaunti za Turkana na Baringo, KRCS ilisaidia shule 20 kwa uji ulioimarishwa kama sehemu ya mtandao wa usalama shuleni ambao ulifikia watoto wapatao 6,120 kwa muhula mmoja pamoja na wazazi wao, ulioratibiwa kupitia Kikundi cha Uendeshaji cha Kaunti ili kuepuka kurudiwa.",N/A - Pending Fine-Tuned Model Inference,Security,0.9194,1
"Kenya | Cholera - Simplified Early Action Protocol (EAP No.: sEAP2025KE04, Operation No: MDRKE071)","Kenya | Kipindupindu - Itifaki ya Hatua ya Mapema Iliyorahisishwa (EAP Na.: sEAP2025KE04, Nambari ya Operesheni: MDRKE071)",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8005,1
"Highlights efforts to raise awareness on online safety and cybersecurity, emphasizing child protection.","Inaangazia juhudi za kuongeza uelewa kuhusu usalama mtandaoni na usalama wa mtandao, ikisisitiza ulinzi wa watoto.","Amangana amanene agosegeta gokonia okomanya igoro yokwerenda korwa obosareku bweintaneti na amangana echisimi nechikombiuta erio erio korenda amang'ana, erengete oborendi bwabana.",Security,0.8585,1
Kenya — Report on Human Mobility in Garissa County (September 2022),Kenya - Ripoti ya Uhamaji wa Binadamu katika Kaunti ya Garissa (Septemba 2022),N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.9685,1
"To be human and to know all those suffering from mental health, we shall promote and nature merciful neighborhoods. If you, or your neighbor needs mental health help, please do not hestate to talk with us through our free toll line 1199",,"Ase okomanya obonyamwanabanto bw'abanto abare na amarwaire y'obongo, ntonyare gokinia eamate ebwate amabera na obomanyi obonge. Onye aye gose omonto omanyete naganetie obokonyi bw'ebirengererio, koranche tonyorwa gokwana naintwe goetera ase e'namba yaito y'esimi etari goakanerwa, 1199",Health,0.9598,1
@DrMercyHealth . Kenya & South Africa are the 2 countries in Africa who are frontiers & are looking at different vaccine trials. We have collaborations with the University of Oxford & other partners in terms of ensuring that when this vaccine is found Kenya does have a stake.,@DrMercyHealth . Kenya na Afrika Kusini ni nchi 2 barani Afrika ambazo ziko mipakani na zinaangalia majaribio tofauti ya chanjo. Tuna ushirikiano na Chuo Kikuu cha Oxford na washirika wengine katika suala la kuhakikisha kuwa chanjo hii inapopatikana Kenya inakuwa na hisa.,,Public Health,0.7375,1
Baringo County: Drought Early Warning Bulletin for July 2023,Kaunti ya Baringo: Taarifa ya Onyo la Mapema kuhusu Ukame Julai 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8456,1
âœ“ Enhance the digital skill of the farmers and build a favorable environment to foster a vibrant innovation and startup ecosystem to encourage the context-aware ...,"""Boresha ujuzi wa kidijitali wa wakulima na ujenge mazingira mazuri ya kukuza uvumbuzi na mfumo ikolojia unaovutia wa kuanzisha biashara ili kuhimiza ufahamu wa muktadha ...","Kwangoyia chisemi chiegeditari as abaremi ero koagacha  omoroberio obeene as gokinia oggonchoreria as chingecho chogokora oberemi  bokorenda amasingira, bamanyete ...",Agriculture,0.8828,1
National Drought Early Warning Bulletin (March 2024),Taarifa ya Tahadhari ya Mapema ya Kitaifa (Machi 2024),N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.7741,1
"Kenya, UNICEF, and the World bank have disclosed good eating habits. Through meney assistance and awareness raising in counties in Africa",,"Kenya, UNICEF, ebengi enene yense, baasioriri okoragera okuya. Goetare omoroberio bwe chiropia na amaegerio Afrika chikaunti 11",Health,0.7794,1
Any other interested persons or groups.,Watu wengine au vikundi vingine vinavyovutiwa.,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.6013,1
Taita Taveta County: Drought Early Warning Bulletin for January 2024,Kaunti ya Taita Taveta: Taarifa ya Onyo la Mapema kuhusu Ukame la Januari 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.887,1
"Let us heed the wise counsel by His Excellency the President to; wash our hands regularly, wear a face mask, maintain social distance #KomeshaCorona","Tuzingatie ushauri wa busara wa Mheshimiwa Rais; kunawa mikono mara kwa mara, kuvaa barakoa, kudumisha umbali wa kijamii #KomeshaCorona",,Public Health,0.6441,1
Kenya: Drought - Population Density (3 Jul 2023),Kenya: Ukame - Msongamano wa Watu (3 Jul 2023),N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.9587,1
"Men,its okay to talk about your mental health.Speaking up is a sign of strength.","Wanaume, ni sawa kuzungumzia afya yako ya akili. Kuzungumza ni ishara ya nguvu.","Abasacha, mbuya gokwana igoro yobochenu bwobongo Ogokwana nekemanyererio gia chinguru",Health,0.8451,1
Be cautious of 'distraction theft' tactics in public places.,Kuwa mwangalifu dhidi ya mbinu za 'wizi wa usumbufu' katika maeneo ya umma.,Tigara komanyete buna abaibi chingencho abaibi bagotumia ase abanto bare abange koiba.,Security,0.8168,1
"How Vegetable Integrated Push Pull Technology is revolutionizing cowpea farming in Western Kenya. The iSPARK project, commissioned by the UK-CGIAR Centre, is ...","Jinsi Teknolojia ya Kusukuma Mboga Integrated Pull inavyobadilisha kilimo cha kunde Magharibi mwa Kenya. Mradi wa iSPARK, ulioagizwa na Kituo cha Uingereza-CGIAR, ni ...","Buna oboremi bwechingeni bwasegetite oboochoreria as oboremi bwechimbisi aaria Mocha ya Kenya. Ekiorokererio korwa iSPARK, ochagetwe na UK-CGIAR Centre, nigo ...",Agriculture,0.8659,1
"Conserve watercinbyour field by mulching, harvest and conserve rain water and planting resilient crops like sweet potatoes.",,"Renda amache gose obonyiu koera ase riroba bwango ase ogotuba riroba nobanyansi gose eubi, gotacha na kogacha amache yembura, na gosimeka ebimeri biria bikoremereria eguragura buna amarabwoni.",Agriculture,0.7257,1
The 2021 Political Declaration on HIV and AIDS specified that community-led organizations should be delivering 80% of HIV prevention services for populations at high risk of HIV infection by 2025.,Azimio la Kisiasa la 2021 kuhusu VVU na UKIMWI lilibainisha kuwa mashirika yanayoongozwa na jamii yanapaswa kuwa yanatoa 80% ya huduma za kuzuia VVU kwa watu walio katika hatari kubwa ya kuambukizwa VVU ifikapo 2025.,N/A - Pending Fine-Tuned Model Inference,Health,0.8608,1
Avoid 'get rich quick' schemes promising high returns.Theyre Ponzi scams.,Epuka mipango ya 'kutajirika haraka' inayoahidi faida kubwa. Ni ulaghai wa Ponzi.,Tiga kongaineka ng'a notenke bwango' emeroberio amangana akogotebia obwaita bwa bwango. Obo noborimo.,Security,0.7495,1
"The Nyeri ELRC is closed from 24th August to 7th September 2020 due to two confirmed COVID-19 cases, with fumigation and staff self-quarantine underway. No certificates will be processed during this period. The court will reopen for virtual hearings on 21st September, with physical hearings expected to resume under the Presiding Judge’s supervision in early October.","Kituo cha ELRC cha Nyeri kimefungwa kuanzia tarehe 24 Agosti hadi 7 Septemba 2020 kutokana na visa viwili vilivyothibitishwa vya COVID-19, huku dawa ya kufukiza na kujitenga kwa wafanyakazi kukiwa kunaendelea. Hakuna vyeti vitakavyoshughulikiwa katika kipindi hiki. Mahakama itafunguliwa tena kwa ajili ya vikao vya mtandaoni tarehe 21 Septemba, huku vikao vya kimwili vikitarajiwa kuanza tena chini ya usimamizi wa Jaji Mkuu mapema Oktoba.","Egetuo kia ELCR kia Nyeri giasiekirwe gochakera chitariki 24 Agosti goika 7 Septemba 2020 magega yogotoka abarwaire babere ba COVID-19, ogosiara eriogo na gwesiekerera kogendererete.
 Chisatibigeti tichirikorosigwa chingaki echi. Abigambero nkoigora bire ogotegerera ebina ase embeo 21 Septemba, ekero ogotegerera ebina ase ebigambero gokageire koirana, inse yoboteneneri bwomogambi omonene, Oktoba kegochaka.",Health,0.8035,1
County level action plan launched in Baringo to address extremist recruitment in schools and religious institutions through community engagement.,,Emeroberio yechikaonti gokwanera igoro yogosarigwa amongo nagosoigwa obokebago ase chisukuru gose chikanisa bemesikiti noansetwe aaria Baringo goetera chinkwana nabanyabinyoro.,Security,0.902,1
Kenya continues on proper livestock vaccination and control animal diseases inside and outside to prevent animal diseases.,,Kenya negendererete gosegeta omoroberio bwogotanga amarwaire etugo korwa isiko na ime ase ense yaito erio gotanga amarwaire etugo.,Agriculture,0.8572,1
In 2015 he co-founded Precision Agriculture for Development (PAD) to pioneer digital agriculture at scale and advance innovation and research in the sector ...,Mnamo mwaka wa 2015 alianzisha kwa pamoja Kilimo cha Precision for Development (PAD) ili kuanzilishia kilimo cha kidijitali kwa kiwango kikubwa na kuendeleza uvumbuzi na utafiti katika sekta hiyo ...,Omwaka o 2015 omochaki bwoboremi bwokobeka omobaro na korenga boronge ebimeri mogodo ase amagenderero (PAD) ase okworokereria igoro ya oboremi bwegechidichtari as oboagare erio goikerania enchera enyia yobotuki as oboremi as ensemo yoboremi...,Agriculture,0.9168,1
National Drought Early Warning Bulletin (May 2024),Taarifa ya Tahadhari ya Mapema ya Kitaifa (Mei 2024),N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.7809,1
"Do tea farming even on a small holder scale,give space fron one crop with another and use of sacks or containers tobplant vegetables around balconies, to control soil erosion on small farms.",,"Kora oboremi bwrchae nonya omogondoo ore omoke, karue ribaga ase ekemeri korwa ekende na kobeka amaroba ase chigunia gosimeka chingeni gesona gose ase ekorofa igoro, gotanga emegoko ase omogondoo omoke.",Agriculture,0.8216,1
Excessive screen use affects attention and sleep in young children. Encourage physical play instead.,Matumizi ya skrini kupita kiasi huathiri umakini na usingizi kwa watoto wadogo. Himiza kucheza kimwili badala yake.,Amatuko amange ase etelevision ngootorana kere ogokina na okorara kwomwana Ribaga riaye tema chigosori,Health,0.8254,1
Stakeholder interests disrupt climate finance coordination,Maslahi ya wadau huvuruga uratibu wa fedha za hali ya hewa,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.6918,1
TVETA conducts specialized training workshops for instructors to update skills and curriculum delivery methods.,,Aborai bwekeombe keria ekenene getenerete chikorechi chiobobundi nechisemi chiokwegendereria TVETA koba ere nokwegeria kwabeene gokinia amasomo abarimu nenchera yogomia amasomo yochusi.,Education,0.811,1
Machakos County community policing attributed to crime reduction in Mwala subâ€‘county,Polisi jamii wa Kaunti ya Machakos wahusishwa na kupungua kwa uhalifu katika kaunti ndogo ya Mwala,Abarendi boborendi bekaonti ya Machakosyamanyirie ng'a ogkeania obosaria kwarorekanire aaria ensemo ya Mwala.,Security,0.9427,1
"The members of the public are warned to beware of scammers who are approaching individuals on WhatsApp with their numbers showing a profile photo of the CCF Kenya, Mr Alex Lemarkoko.","Umma unaonywa kuwa waangalifu na matapeli wanaowakaribia watu binafsi kwenye WhatsApp huku nambari zao zikionyesha picha ya wasifu wa CCF Kenya, Bw. Alex Lemarkoko.","Aabanainchi bonso bakureirwe igoro babaibi bgochera abanto goetera WhatsApp nechinamba chiabo chiesimi chiokworokia chibicha chiabo ng'a barabwo mbarabi ebicha ya CCF Kenya, Omosike Alex Lemarkoko.",Governance,0.8898,1
"Promoting technology on push- pull approach. A successful trial. Use of traps. ZARI, DoA,CABI,CIMMYT.Zambia. public information ,inclusivity, on call.",,"Ogosegeta etekinorochi. Obotuki bwa keene korora gose. Ogochakakorora gose okobeka emetego ya pheromone ngokora ere emeremo buya. ZARI, DoA, CABI, CIMMYT. Zambia. Okomanyia abanto. Kobwatania. Ase orarangerie.",Agriculture,0.8991,1
Residential facilities for persons with disabilities require strong safeguards and accessible education on rights and reporting.,Vifaa vya makazi kwa watu wenye ulemavu vinahitaji ulinzi mkali na elimu inayopatikana kwa urahisi kuhusu haki na utoaji wa taarifa.,Aase abanto bamenyete na mono baria bare noborema chinchera chiokobarenda chingiya nchiganeirie na kobakonya goikera chisemi chioboronge na buna baranyare goteba ekero bakoreirwe bobe.,Security,0.876,1
"This Local Manufacturing Strategy is structured to position Kenya’s healthcare as an investment for social impact, equity, economic growth, commercial traction, and sustainability.","Mkakati huu wa Uzalishaji wa Ndani umeundwa ili kuweka huduma ya afya ya Kenya kama kitega uchumi cha athari za kijamii, usawa, ukuaji wa uchumi, kuvutia kibiashara na uendelevu.",N/A - Pending Fine-Tuned Model Inference,Health,0.6793,1
The Regulations are accessible on the National Treasury website (www.treasury.go.ke).,Kanuni zinapatikana kwenye tovuti ya Hazina ya Kitaifa (www.treasury.go.ke).,N/A - Pending Fine-Tuned Model Inference,Governance,0.6171,1
"Dadaab Future Vision: Enhancing Self-Reliance for Refugees and Hosting Communities in Garissa, Kenya (August 2022)","Maono ya Baadaye ya Dadaab: Kuimarisha Kujitegemea kwa Wakimbizi na Jamii zinazowahifadhi huko Garissa, Kenya (Agosti 2022)",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8745,1
Harmful practices such as female genital mutilation and forced marriage are human rights violations. Kenya has committed significant investment to prevention and response.,,Chingencho chiaetire nechingaki gose chimbe buna chiria chiogokeba abana abanyaroka nenyomo ya bwango bataraisanera emiaka yokonywomwa nigo bire mamincha noboronge bwamwanyabanto. Kenya yaeraiganirie goetera korwa chibesa gotanga na korwa obokonyi bwa kera engencho gokora ayio. has committed significant investment to prevention and response.,Security,0.832,1
Safety guidelines for school reopening 2021.,Miongozo ya usalama kwa ajili ya kufungua tena shule 2021.,Omoroberio omoikeranu gotanga obokongu ekero chisukuru chikoigora omwaka 2021.,Education,0.9174,1
"Refugee camps must prioritize safety planning, adequate lighting, and women’s participation in governance.","Kambi za wakimbizi lazima zitoe kipaumbele katika kupanga usalama, taa za kutosha, na ushiriki wa wanawake katika utawala.","Aaria chikambi chia baria batamire chisegi korwa chinsobo goika baroberie igoro yoborendi, oborabu boisaine ase chikambi chiabo, na gosangia abangina ase emeroberio yoborendi bwabo.",Security,0.8487,1
Status of mobility of livestock in Kenya: Mapping of livestock routes and case studies on mobility blockages,Hali ya uhamaji wa mifugo nchini Kenya: Kuchora ramani ya njia za mifugo na tafiti kuhusu vizuizi vya uhamaji,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.9022,1
"Adolescent mothers need extra emotional, nutritional, and medical support. Communities are urged to reduce stigma and promote inclusive care.","Akina mama vijana wanahitaji msaada wa ziada wa kihisia, lishe, na matibabu. Jamii zinahimizwa kupunguza unyanyapaa na kukuza utunzaji jumuishi.","Abang'ina abasae mbaganatie obokonyi bwa ebirengererio,endagera na oborwaria.Ebisaku biasabirwe gokeia oboiroku na gosira oborendi bwa amo.",Health,0.9567,1
Veterinary department announces livestock vaccination drive across Laikipia and Kajiado.,Idara ya mifugo yatangaza kampeni ya chanjo ya mifugo kote Laikipia na Kajiado.,Ensemo yobobwenia bwetugo yararirie okobeta etugo chisindani aaria Laikipia na Kajiado.,Agriculture,0.7427,1
Announced how youth-run school shops offer fortified porridge and snacks in partnership with health officials.,,Yararetwe buna chisukuru chikoragwa na abasae bàkorosia chirongori chikongorie na ebitakunero amo na abaobisa bobochenu,Health,0.6595,1
Build better schools! Support infrastructure projects in ASAL regions.,Jenga shule bora! Saidia miradi ya miundombinu katika mikoa ya ASAL.,Agacha chinyomba chiokorara chiesukuru chiria abana benyete ime omwaka 2022.,Education,0.9281,1
"EHAGL Region: Community Feedback Analysis Report, April - June 2024","Mkoa wa EHAGL: Ripoti ya Uchambuzi wa Maoni ya Jamii, Aprili - Juni 2024",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8657,1
"The prefernce of people dying from malaria has reduced more tha its preference before the outbreak of Covid 19, WHO has confirmed Wednesday, but has appealed to expedite the fight against disease, tha caused 97,000 people to lose their life last year.",,"Ogosiri obogima goetera ase oborwaire bw'Esosera gwakeire goikera ekerengo kiarenge nyuma ya Ogoateka gwa COVID-19, WHO yatebete rituko ria tichi gatato, korende gekagania amagenderero abwango korwania endwari eye, yagerete abanto 597,000 gosiria amagima abo,omwaka oera.",Health,0.6235,1
Enforce code of conduct 2023.,Timiza kanuni za maadili 2023.,Ikerania amachiko emeremo nobokoreri 2023.,Education,0.8073,1
Assessing partner alignment in support of the health information system in Kenya,Kutathmini upatanishi wa washirika katika kuunga mkono mfumo wa taarifa za afya nchini Kenya,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.9671,1
"Kenya Price Bulletin, January 2023","Taarifa ya Bei ya Kenya, Januari 2023",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.9185,1
Kenya 2022 Drought Response in Review,Mwitikio wa Ukame wa Kenya 2022 Katika Uhakiki,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.9091,1
"Farming that affects climate change in plantation fields of fruits require water sourced from electric energy in seeds production, together with carrying..",,"Oboremi boria bokoremereria ogosareka kwerire ase ase oboremi bwemegondo emenene yamatunda neganetie gotumia amache nechinguru buya chiomorero buya ase okoenana embego, amo nobobogoria amo...",Agriculture,0.7297,1
"Parents in arid areas: Apply now for 15,000 secondary school scholarships ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ deadline Nov 30.","Wazazi katika maeneo kame: Tuma maombi sasa kwa ufadhili wa masomo 15,000 wa shule za upili tarehe ya mwisho Novemba 30.","Abaibori bare ase chingongo chinyomo: Toma ogosaba kwogokonywa chibesa chieserikari gosomera esekenderi  15,000, nyuma ya chitariki 30 omotienyi 11.",Education,0.9474,1
Mixed conditions across East Africa triggered by an early March – May rains onset,Hali mchanganyiko kote Afrika Mashariki ilichochewa na mwanzo wa mvua za Machi-Mei,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.5647,0
Provide shelters! Ensure safe spaces during floods.,Toa makazi! Hakikisha kuna maeneo salama wakati wa mafuriko.,Agacha chinyoma! Ensure safe spaces during floods.,Education,0.8878,1
Demand accountability from public officials and uphold ethics to reduce corruption risks.,Kudai uwajibikaji kutoka kwa maafisa wa umma na kudumisha maadili ili kupunguza hatari za rushwa.,Boria komanyigwa buna abakori emeremo beserikari na renda ekeene gotanga obokorekanu.,Security,0.9484,1
"Market access for imports into the Kenyan market has improved since the reforms, occasioning tremendous import growth. However, the capacity to import food has ...","Upatikanaji wa soko la bidhaa zinazoingizwa kutoka nje katika soko la Kenya umeimarika tangu mageuzi hayo, na kusababisha ukuaji mkubwa wa uagizaji. Hata hivyo, uwezo wa kuagiza chakula umeongezeka ...","Goikera echiro yokoreta ebinto korwa isiko fgocha echiro yaito aiga Kenya kwagendereire korwa omoroberio bwokorwta obokoreri ang'e ochagete, na goikerania okoreta ebinto korwa echiro ya isko gokina. Nonya nigo, okobua gwokoreta chindagera korwa isko kwabeire...",Agriculture,0.8674,1
"Kenya among 12 African countries to get 18 million doses of malaria vaccine by 2025, WHO says priority will go to countries with the greatest need.","Kenya miongoni mwa nchi 12 za Afrika kupata dozi milioni 18 za chanjo ya malaria ifikapo mwaka 2025, WHO inasema kipaumbele kitaelekezwa kwa nchi zenye uhitaji mkubwa zaidi.","Kenya nigo ere gati ye’chinse 12 chia Afrika chiranyore chodosi chomilioni 18 chia chanjo ya Malaria goikera omwaka o 2025, WHI nigo egoteba egotang’ana koa chinse chiria chibwate okogania okonene.",Health,0.7567,1
"Over the next 96 hours, more rainfall is still forecast over western, southern and coastal Kenya.","Katika muda wa saa 96 zijazo, mvua zaidi bado inatabiriwa magharibi, kusini na pwani ya Kenya.",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.6737,1
"Trainings from Chlorophyll Africa on soils, guarding organic manure in land to sustain ground fertility is important in parts of Kenya, not for production alone but as a lifestyle. Just as growing population demand food, sustainable food system is vital urgently. Chlorophyll Africa is on the frontline in this initiatives, in making innovative steps and a friend to the environment of agriculture but guarding investment among farmers.",,"Okwegera kora ekeombe kia Chlorophyll Afrika kiobogima ase riroba, okorenda amokonde ayio are ase riroba akorenta obotubu as riroba goikernia oboremi bwokwegendereria bwamorekirwe kegima buna obweng'encho, mono kegima ase chingongo buna Kenya, abwo oboremi tari rioka ase okonyora ebitoki korende nenchera yobogima. Buna obonge bwa abanto bogendererte ense engima baganetie endagera, okogania okonene korengete kwegera oboremi bwokwegendereria bwasegetire okayerera goikerania omoroberio oyio. Ekeombe gia'Chlorophyll Afrika nkere motwe gosuguma goikaria aya, goetera goikerania oboremi botari gosaria ebitoonchokananete nabo igo gokinwa obogima bwekenyoro.",Agriculture,0.8753,1
IEBC designs interactive games to teach electoral processes.,,IEBC designs interactive games to teach electoral processes.,Education,0.7379,1
YouÃ¢â‚¬TMre not alone! Visit school counselors for support.,Hauko peke yako! Tembelea washauri wa shule kwa usaidizi.,Tori aye bweka! Rora omosebwa bwabana esukuru agokonye ebirengererio,Education,0.8747,1
Announcing Nationwide training to improve acute malnutrition treatment protocols across counties.,Kutangaza mafunzo ya Kitaifa kote ili kuboresha itifaki za matibabu ya utapiamlo mkali katika kaunti zote.,Koraria amaegeria orogongo orogima erio gosegeta emeroberio yoborwari bw' okoria orachi ase chikaunti,Health,0.8981,1
Announcement on the distribution of pesticides and insecticides with a view of combarting the same among livestock.,,Okoraria igoro yobobagi bwamariogo oboremi na ase etugo erio korwania amarwaire yoboremi.,Agriculture,0.8026,1
"These technologies range from precision farming and satellite imaging to drone technology and artificial intelligence, digital tools and can ...","Teknolojia hizi zinaanzia kilimo sahihi na upigaji picha wa setilaiti hadi teknolojia ya ndege zisizo na rubani na akili bandia, zana za kidijitali na zinaweza ...","Chitekinorochi echi nogo chire echia  precision farming and satellite imaging to drone technology and artificial intelligence, digital tools and can ...",Agriculture,0.8137,1
"Teamwork among genders can change the face of farming by passing on technology like in Northern Nigeria...( Nairobi, Kenya, May 2024). Detailed reserach was done in Northern Nigeria by...",,"Ogotarengangana gati yomonto omosacha nomonto omokungu nabio bigosegeta ogoochoreria ase oboremi. Oboremi bwetekinorochia ari Irianyi ya Nigeria ... (Nairobi, Kenya, May 2024)- Obokongoria bwaigo bwakoretwe aaria Irianyi ya Nigeria by ...",Agriculture,0.8526,1
"Mungatana urges IEBC to ensure transparency, fairness in upcoming by-elections",,"Mungatana orure okoboria ase IEBC koenekia oboene, obwasioku ase obochori oboke obwo bore motwe.",Governance,0.9381,1
Eastern Africa: Heavy rains and flooding Flash Update #3 (21 May 2024),Afrika Mashariki: Mvua kubwa na mafuriko Sasisho la Flash #3 (21 Mei 2024),N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.639,1
Breastfeeding is foundational for both child survival and maternal health.,Kunyonyesha ni msingi wa maisha ya mtoto na afya ya uzazi.,N/A - Pending Fine-Tuned Model Inference,Health,0.8297,1
Learn comfortably! Provide desks and chairs for students.,Jifunze kwa raha! Wape wanafunzi madawati na viti.,Soma mochando otaiyo! Karwe ebirogo nebimesa ase abana.,Education,0.9183,1
Include all! Provide ramps and resources for disabled students.,Jumuisha yote! Toa njia na rasilimali kwa wanafunzi walemavu.,Include all! Provide ramps and resources for disabled students.,Education,0.8598,1
A GAIN-led campaign in Mombasa that improves access to affordable fruits and vegetables in urban market zones.,Kampeni inayoongozwa na GAIN huko Mombasa ambayo inaboresha upatikanaji wa matunda na mboga za bei nafuu katika maeneo ya soko la mijini.,Ekampeni ikoraagwa na GAIN Mombasa igosegeta ogotoka kwa matunda na chinyeni chia rigori rike mbarabare yechiro,Health,0.8683,1
Drought & War Trigger Humanitarian Crisis in Kenya,Ukame na Vita Vyasababisha Mgogoro wa Kibinadamu nchini Kenya,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.6885,1
"Locally Led, Adaptive Cash Assistance for Disaster-Affected Communities Across Kenya","Usaidizi wa Pesa Unaoongozwa na Nchi, Unaobadilika kwa Jamii Zilizoathiriwa na Maafa Kote Kenya.",N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8503,1
"Set up a soil-less hydroponic system to grow sweet potatoes efficiently using less water and space, ideal for urban or intensive farming.","Anzisha mfumo wa hydroponic usiotumia udongo ili kukuza viazi vitamu kwa ufanisi kwa kutumia maji na nafasi kidogo, bora kwa kilimo cha mijini au kilimo cha ndani.",Tema oboremi bwamarabwoni ase enchera engao yegetekinorochia buna eria yogotumia amache gose ebinto binde gosimeka amarabwoni ase ogotumia ribaga rike riomogondo as abaremi bemechie gose chitaoni ase okomigereria.,Agriculture,0.7787,1
The Kenya Medical Research Institute (KEMRI) has deployed its personnel to Marsbit for testing after 9 people losing theuir life,,Ekiombe kiobotuki bw’obonyagitari (KEMRI) giatomire abanto babo marsabit korenga abanto magega ya abanto kianda gosiria amagima abo.,Health,0.7261,1
Narok County: Drought Early Warning Bulletin for September 2022,Kaunti ya Narok: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Septemba 2022,N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.8598,1
Grow your business! Join agribusiness vocational courses.,Kuza biashara yako! Jiunge na kozi za ufundi za kilimo.,Kinia oboonchoreria bwao! Soa chikorechi chia inse chiria chogosomia chikosi chioboremi.,Education,0.7608,1
Kenya | Floods - 6 Month Operation Update (MDRKE058) (31/10/2024),Kenya | Mafuriko - Usasishaji wa Uendeshaji wa Miezi 6 (MDRKE058) (31/10/2024),N/A - Pending Fine-Tuned Model Inference,Disaster/Health,0.7861,1
All boarding schools must install fire alarms + sprinklers by Jan 6 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ CS orders!,Shule zote za bweni lazima ziweke kengele za moto + vinyunyizio ifikapo Januari 6 - maagizo ya CS!,Chisukuru chiria chionsi abana bamenyete ime goika babeke ebonto bikorwa ogokurerwa ekero omorero bwatekire nebuinto biria bigosiarera amache korimia emerero. Omomonisita bwechisemi orure ogochika!,Education,0.9649,1
